Image,Detected Object(s),Generated_Image_Path
28301.jpeg,"['wreck', 'submarine, pigboat, sub, U-boat', 'steam locomotive', 'lumbermill, sawmill', 'nematode, nematode worm, roundworm']",images\28301.jpeg
28305.jpeg,"['web site, website, internet site, site', 'pickup, pickup truck', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'racer, race car, racing car']",images\28305.jpeg
28307.jpeg,"['street sign', 'mousetrap', 'shield, buckler', 'macaque', 'megalith, megalithic structure']",images\28307.jpeg
28308.jpeg,"['lakeside, lakeshore', 'valley, vale', 'beacon, lighthouse, beacon light, pharos', 'balloon', 'worm fence, snake fence, snake-rail fence, Virginia fence']",images\28308.jpeg
28326.jpeg,"['gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\28326.jpeg
28355.jpeg,"['baboon', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar', 'standard poodle']",images\28355.jpeg
28370.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'accordion, piano accordion, squeeze box', 'picket fence, paling', 'valley, vale', 'stone wall']",images\28370.jpeg
28373.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'gibbon, Hylobates lar', 'baboon', 'howler monkey, howler', 'gorilla, Gorilla gorilla']",images\28373.jpeg
28381.jpeg,"['moving van', 'lakeside, lakeshore', 'recreational vehicle, RV, R.V.', 'limousine, limo', 'planetarium']",images\28381.jpeg
28382.jpeg,"['electric guitar', 'hook, claw', 'menu', 'scale, weighing machine', 'web site, website, internet site, site']",images\28382.jpeg
28386.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\28386.jpeg
28409.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book', 'brassiere, bra, bandeau', 'balance beam, beam']",images\28409.jpeg
2841.jpeg,"['comic book', 'web site, website, internet site, site']",images\2841.jpeg
28418.jpeg,"['alp', 'mountain tent', 'lakeside, lakeshore', 'jeep, landrover', 'paddle, boat paddle']",images\28418.jpeg
2842.jpeg,['mountain tent'],images\2842.jpeg
28423.jpeg,"['recreational vehicle, RV, R.V.']",images\28423.jpeg
28427.jpeg,['radiator'],images\28427.jpeg
28429.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'crutch', 'flute, transverse flute', 'pole', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\28429.jpeg
2843.jpeg,['mountain tent'],images\2843.jpeg
28432.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'baboon', 'web site, website, internet site, site', 'comic book', 'jigsaw puzzle']",images\28432.jpeg
28438.jpeg,"['cliff, drop, drop-off', 'valley, vale', 'alp', 'mountain bike, all-terrain bike, off-roader']",images\28438.jpeg
2844.jpeg,"['fountain', 'geyser', 'lakeside, lakeshore', 'canoe', 'book jacket, dust cover, dust jacket, dust wrapper']",images\2844.jpeg
28445.jpeg,"['mountain bike, all-terrain bike, off-roader', 'moped', 'lakeside, lakeshore', 'sleeping bag', 'bicycle-built-for-two, tandem bicycle, tandem']",images\28445.jpeg
28449.jpeg,"['paddle, boat paddle', 'canoe']",images\28449.jpeg
2845.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon', 'gorilla, Gorilla gorilla', 'cliff, drop, drop-off']",images\2845.jpeg
28450.jpeg,"['valley, vale', 'cliff, drop, drop-off', 'seashore, coast, seacoast, sea-coast', 'Indian cobra, Naja naja', 'cliff dwelling']",images\28450.jpeg
28453.jpeg,"['fountain', 'spotlight, spot', 'Afghan hound, Afghan', 'spider monkey, Ateles geoffroyi', 'binder, ring-binder']",images\28453.jpeg
2848.jpeg,"['Windsor tie', 'stethoscope', 'suit, suit of clothes', 'bolo tie, bolo, bola tie, bola', 'lab coat, laboratory coat']",images\2848.jpeg
28484.jpeg,"['lakeside, lakeshore', 'mountain tent', 'picket fence, paling', 'alp', 'volcano']",images\28484.jpeg
28485.jpeg,"['tusker', 'mountain bike, all-terrain bike, off-roader', 'lakeside, lakeshore', 'worm fence, snake fence, snake-rail fence, Virginia fence', 'bison']",images\28485.jpeg
28487.jpeg,"['alp', 'valley, vale', 'platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus', 'lakeside, lakeshore', 'killer whale, killer, orca, grampus, sea wolf, Orcinus orca']",images\28487.jpeg
28499.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\28499.jpeg
2850.jpeg,"['gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'chimpanzee, chimp, Pan troglodytes']",images\2850.jpeg
28516.jpeg,"['Afghan hound, Afghan', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon']",images\28516.jpeg
28525.jpeg,"['fountain', 'valley, vale', 'tank, army tank, armored combat vehicle, armoured combat vehicle', 'lakeside, lakeshore', 'coral reef']",images\28525.jpeg
28526.jpeg,['military uniform'],images\28526.jpeg
28531.jpeg,"['gorilla, Gorilla gorilla', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar', 'macaque']",images\28531.jpeg
28532.jpeg,"['impala, Aepyceros melampus', 'hartebeest', 'gazelle', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\28532.jpeg
28533.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'theater curtain, theatre curtain', 'window screen', 'shower curtain']",images\28533.jpeg
28534.jpeg,"['wreck', 'bannister, banister, balustrade, balusters, handrail', 'cliff, drop, drop-off', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'greenhouse, nursery, glasshouse']",images\28534.jpeg
28545.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'spotlight, spot', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'vault']",images\28545.jpeg
2855.jpeg,"['Bouvier des Flandres, Bouviers des Flandres', 'Kerry blue terrier', 'comic book', 'web site, website, internet site, site', 'standard poodle']",images\2855.jpeg
2856.jpeg,"['web site, website, internet site, site']",images\2856.jpeg
28568.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site', 'fountain', 'monitor']",images\28568.jpeg
28569.jpeg,"['mountain tent', 'lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'sandbar, sand bar']",images\28569.jpeg
28570.jpeg,"['web site, website, internet site, site', 'comic book']",images\28570.jpeg
28575.jpeg,"['fountain', 'chimpanzee, chimp, Pan troglodytes', 'baboon', 'window screen', 'comic book']",images\28575.jpeg
28577.jpeg,"['valley, vale', 'cliff, drop, drop-off', 'howler monkey, howler', 'spider monkey, Ateles geoffroyi', 'lakeside, lakeshore']",images\28577.jpeg
2858.jpeg,"['fountain', 'stupa, tope', 'suspension bridge', 'standard poodle']",images\2858.jpeg
28580.jpeg,"['web site, website, internet site, site', 'boathouse', 'book jacket, dust cover, dust jacket, dust wrapper']",images\28580.jpeg
2859.jpeg,"['macaque', 'baboon', 'gibbon, Hylobates lar', 'langur', 'spider monkey, Ateles geoffroyi']",images\2859.jpeg
2861.jpeg,"['fountain', 'theater curtain, theatre curtain', 'stage', 'spotlight, spot', 'monitor']",images\2861.jpeg
2862.jpeg,"['alp', 'canoe', 'valley, vale', 'reel', 'paddle, boat paddle']",images\2862.jpeg
2863.jpeg,"['thatch, thatched roof', 'swing', 'cliff, drop, drop-off', 'velvet', 'picket fence, paling']",images\2863.jpeg
28634.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar']",images\28634.jpeg
28637.jpeg,"['tusker', 'web site, website, internet site, site', 'Indian elephant, Elephas maximus', 'African elephant, Loxodonta africana', 'chain saw, chainsaw']",images\28637.jpeg
2864.jpeg,['mountain tent'],images\2864.jpeg
28642.jpeg,"['mountain tent', 'lakeside, lakeshore', 'solar dish, solar collector, solar furnace', 'geyser', 'bannister, banister, balustrade, balusters, handrail']",images\28642.jpeg
28667.jpeg,"['comic book', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'chimpanzee, chimp, Pan troglodytes', 'prison, prison house']",images\28667.jpeg
28668.jpeg,"['obelisk', 'book jacket, dust cover, dust jacket, dust wrapper', 'beacon, lighthouse, beacon light, pharos', 'comic book', 'bell cote, bell cot']",images\28668.jpeg
28678.jpeg,"['lakeside, lakeshore', 'mountain tent', 'valley, vale', 'volcano', 'maze, labyrinth']",images\28678.jpeg
28679.jpeg,"['dam, dike, dyke', 'wing', 'coil, spiral, volute, whorl, helix', 'lakeside, lakeshore', 'valley, vale']",images\28679.jpeg
28689.jpeg,"['cab, hack, taxi, taxicab', 'limousine, limo', 'monitor', 'minivan', 'school bus']",images\28689.jpeg
28702.jpeg,"['traffic light, traffic signal, stoplight', 'street sign', 'shield, buckler', 'lighter, light, igniter, ignitor', 'puck, hockey puck']",images\28702.jpeg
28703.jpeg,"['bannister, banister, balustrade, balusters, handrail', 'balance beam, beam', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'web site, website, internet site, site']",images\28703.jpeg
28709.jpeg,"['langur', 'baboon', 'patas, hussar monkey, Erythrocebus patas', 'macaque']",images\28709.jpeg
28711.jpeg,"['jersey, T-shirt, tee shirt', 'laptop, laptop computer', 'book jacket, dust cover, dust jacket, dust wrapper', 'scoreboard', 'doormat, welcome mat']",images\28711.jpeg
28713.jpeg,"['comic book', 'maze, labyrinth', 'jigsaw puzzle', 'book jacket, dust cover, dust jacket, dust wrapper', 'tray']",images\28713.jpeg
28714.jpeg,"['convertible', 'pickup, pickup truck', 'jeep, landrover', 'grille, radiator grille', 'car wheel']",images\28714.jpeg
28716.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\28716.jpeg
28720.jpeg,"['limousine, limo', 'minivan', 'baboon', 'convertible', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon']",images\28720.jpeg
28728.jpeg,"['coral reef', 'valley, vale', 'maze, labyrinth', 'cliff, drop, drop-off', 'lakeside, lakeshore']",images\28728.jpeg
2873.jpeg,['mountain tent'],images\2873.jpeg
28730.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\28730.jpeg
28739.jpeg,"['gorilla, Gorilla gorilla', 'baboon', 'chimpanzee, chimp, Pan troglodytes']",images\28739.jpeg
2876.jpeg,"['mountain tent', 'lakeside, lakeshore', 'alp', 'valley, vale', 'flagpole, flagstaff']",images\2876.jpeg
2877.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'Gordon setter', 'bannister, banister, balustrade, balusters, handrail', 'spider monkey, Ateles geoffroyi', 'chimpanzee, chimp, Pan troglodytes']",images\2877.jpeg
28777.jpeg,"['solar dish, solar collector, solar furnace', 'alp', 'barn', 'valley, vale']",images\28777.jpeg
2878.jpeg,"['valley, vale', 'alp', 'cliff, drop, drop-off']",images\2878.jpeg
28781.jpeg,"['trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'racer, race car, racing car', 'minivan', 'pickup, pickup truck', 'car wheel']",images\28781.jpeg
28788.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book']",images\28788.jpeg
28797.jpeg,"['paddle, boat paddle', 'canoe', 'lakeside, lakeshore', 'sandbar, sand bar']",images\28797.jpeg
28803.jpeg,"['comic book', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'lumbermill, sawmill', 'beaver', 'chimpanzee, chimp, Pan troglodytes']",images\28803.jpeg
28805.jpeg,"['sandbar, sand bar', 'seashore, coast, seacoast, sea-coast', 'lakeside, lakeshore', 'wreck']",images\28805.jpeg
28820.jpeg,"['dogsled, dog sled, dog sleigh', 'ski', 'canoe', 'snowmobile', 'alp']",images\28820.jpeg
28823.jpeg,"['prison, prison house', 'viaduct', 'megalith, megalithic structure', 'switch, electric switch, electrical switch', 'guillotine']",images\28823.jpeg
28839.jpeg,"['gibbon, Hylobates lar', 'gorilla, Gorilla gorilla', 'baboon', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\28839.jpeg
28856.jpeg,"['web site, website, internet site, site']",images\28856.jpeg
2886.jpeg,"['spider monkey, Ateles geoffroyi', 'macaque', 'valley, vale', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'chimpanzee, chimp, Pan troglodytes']",images\2886.jpeg
28861.jpeg,"['beaver', 'lakeside, lakeshore', 'water buffalo, water ox, Asiatic buffalo, Bubalus bubalis', 'sea lion', 'hippopotamus, hippo, river horse, Hippopotamus amphibius']",images\28861.jpeg
2887.jpeg,"['chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla']",images\2887.jpeg
28873.jpeg,"['web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'cowboy hat, ten-gallon hat']",images\28873.jpeg
2888.jpeg,"['brass, memorial tablet, plaque', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'comic book']",images\2888.jpeg
28886.jpeg,"['tricycle, trike, velocipede', 'mountain bike, all-terrain bike, off-roader', 'bicycle-built-for-two, tandem bicycle, tandem', 'fountain', 'snowmobile']",images\28886.jpeg
28897.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'baboon', 'langur', 'chimpanzee, chimp, Pan troglodytes', 'macaque']",images\28897.jpeg
28898.jpeg,"['bustard', 'hare', 'coyote, prairie wolf, brush wolf, Canis latrans', 'quail', 'magpie']",images\28898.jpeg
28899.jpeg,"['car mirror', 'minibus', 'cab, hack, taxi, taxicab', 'baboon', 'ambulance']",images\28899.jpeg
28912.jpeg,"['lakeside, lakeshore', 'maze, labyrinth', 'alp', 'mountain bike, all-terrain bike, off-roader', 'unicycle, monocycle']",images\28912.jpeg
28935.jpeg,"['canoe', 'lakeside, lakeshore']",images\28935.jpeg
28936.jpeg,"['spider monkey, Ateles geoffroyi', 'macaque', 'langur', 'chimpanzee, chimp, Pan troglodytes', 'guenon, guenon monkey']",images\28936.jpeg
28940.jpeg,"['pier', 'steel arch bridge', 'suspension bridge', 'fountain', 'viaduct']",images\28940.jpeg
28945.jpeg,"['jeep, landrover', 'beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon', 'dam, dike, dyke', 'limousine, limo', 'minivan']",images\28945.jpeg
28946.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus']",images\28946.jpeg
28954.jpeg,"['mountain tent', 'candle, taper, wax light']",images\28954.jpeg
2896.jpeg,"['baboon', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar']",images\2896.jpeg
28964.jpeg,"['snowmobile', 'snowplow, snowplough']",images\28964.jpeg
2897.jpeg,"['swab, swob, mop', 'window shade', 'Kerry blue terrier', 'briard', 'Tibetan terrier, chrysanthemum dog']",images\2897.jpeg
2898.jpeg,"['impala, Aepyceros melampus', 'spotlight, spot', 'spider monkey, Ateles geoffroyi', 'baboon', 'Egyptian cat']",images\2898.jpeg
28982.jpeg,"['lakeside, lakeshore', 'web site, website, internet site, site', 'seashore, coast, seacoast, sea-coast', 'American alligator, Alligator mississipiensis', 'valley, vale']",images\28982.jpeg
28993.jpeg,"['viaduct', 'tractor', 'barn', 'tank, army tank, armored combat vehicle, armoured combat vehicle', 'park bench']",images\28993.jpeg
28998.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes']",images\28998.jpeg
2900.jpeg,"['valley, vale', 'seashore, coast, seacoast, sea-coast', 'dingo, warrigal, warragal, Canis dingo', 'sandbar, sand bar', 'cliff, drop, drop-off']",images\2900.jpeg
2901.jpeg,['comic book'],images\2901.jpeg
29013.jpeg,"['spotlight, spot', 'scuba diver', 'chimpanzee, chimp, Pan troglodytes', 'Arabian camel, dromedary, Camelus dromedarius', 'fountain']",images\29013.jpeg
29018.jpeg,"['standard poodle', 'giant schnauzer', 'Bouvier des Flandres, Bouviers des Flandres', 'Irish water spaniel', 'Afghan hound, Afghan']",images\29018.jpeg
2902.jpeg,"['paddle, boat paddle', 'sea lion', 'canoe', 'ibex, Capra ibex', 'comic book']",images\2902.jpeg
29020.jpeg,"['alp', 'cliff, drop, drop-off', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'valley, vale', 'chimpanzee, chimp, Pan troglodytes']",images\29020.jpeg
29024.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'orangutan, orang, orangutang, Pongo pygmaeus']",images\29024.jpeg
29025.jpeg,"['web site, website, internet site, site', 'menu', 'ballplayer, baseball player', ""pajama, pyjama, pj's, jammies"", 'suit, suit of clothes']",images\29025.jpeg
29032.jpeg,"['theater curtain, theatre curtain', 'window shade', 'shower curtain', 'spotlight, spot', 'mosquito net']",images\29032.jpeg
29045.jpeg,"['gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'spider monkey, Ateles geoffroyi']",images\29045.jpeg
29055.jpeg,"['web site, website, internet site, site', 'envelope', 'measuring cup', 'nematode, nematode worm, roundworm', 'menu']",images\29055.jpeg
29067.jpeg,"['comic book', 'spotlight, spot', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\29067.jpeg
2907.jpeg,"['parachute, chute', 'cliff, drop, drop-off', 'ski', 'alp', 'chimpanzee, chimp, Pan troglodytes']",images\2907.jpeg
2909.jpeg,"['alp', 'ski mask', 'ski', 'comic book', 'wig']",images\2909.jpeg
29091.jpeg,"['alp', 'minivan', 'recreational vehicle, RV, R.V.', 'trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi', 'cliff, drop, drop-off']",images\29091.jpeg
29092.jpeg,"['menu', 'Afghan hound, Afghan', 'brown bear, bruin, Ursus arctos', 'Scottish deerhound, deerhound', 'Bouvier des Flandres, Bouviers des Flandres']",images\29092.jpeg
29124.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'rifle', 'nail']",images\29124.jpeg
29125.jpeg,"['gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'baboon']",images\29125.jpeg
29139.jpeg,"['lakeside, lakeshore', 'seashore, coast, seacoast, sea-coast', 'valley, vale', 'alp', 'comic book']",images\29139.jpeg
2914.jpeg,"['mask', 'fur coat', 'wig', 'breastplate, aegis, egis', 'binoculars, field glasses, opera glasses']",images\2914.jpeg
29148.jpeg,"['binoculars, field glasses, opera glasses', 'tripod']",images\29148.jpeg
2915.jpeg,"['web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'coral reef']",images\2915.jpeg
29158.jpeg,"['briard', 'miniature schnauzer', 'standard schnauzer', 'Afghan hound, Afghan', 'Bouvier des Flandres, Bouviers des Flandres']",images\29158.jpeg
29165.jpeg,"['theater curtain, theatre curtain', 'comic book', 'fountain']",images\29165.jpeg
2917.jpeg,"['spotlight, spot', 'alp', 'racer, race car, racing car', 'geyser', 'cab, hack, taxi, taxicab']",images\2917.jpeg
29170.jpeg,"['oscilloscope, scope, cathode-ray oscilloscope, CRO', 'nematode, nematode worm, roundworm', 'maze, labyrinth', 'comic book', 'jersey, T-shirt, tee shirt']",images\29170.jpeg
29178.jpeg,"['baboon', 'gibbon, Hylobates lar', 'macaque', 'langur', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\29178.jpeg
2919.jpeg,"['baboon', 'umbrella', 'tub, vat', 'langur', 'fountain']",images\2919.jpeg
292.jpeg,['parking meter'],images\292.jpeg
29223.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site']",images\29223.jpeg
29227.jpeg,['comic book'],images\29227.jpeg
29241.jpeg,"['shower curtain', 'langur', 'gibbon, Hylobates lar', 'lakeside, lakeshore', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\29241.jpeg
29244.jpeg,"['worm fence, snake fence, snake-rail fence, Virginia fence', 'megalith, megalithic structure']",images\29244.jpeg
29265.jpeg,"['sandbar, sand bar', 'spotlight, spot', 'seashore, coast, seacoast, sea-coast', 'seat belt, seatbelt']",images\29265.jpeg
2928.jpeg,"['monitor', 'window screen', 'screen, CRT screen', 'home theater, home theatre', 'television, television system']",images\2928.jpeg
29287.jpeg,"['wreck', 'vault', 'spotlight, spot', 'fountain', 'theater curtain, theatre curtain']",images\29287.jpeg
29294.jpeg,"['yawl', 'schooner', 'trimaran', 'mountain tent', 'wing']",images\29294.jpeg
29303.jpeg,"['volcano', 'fire screen, fireguard', 'geyser', 'stove']",images\29303.jpeg
29305.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'web site, website, internet site, site', 'brass, memorial tablet, plaque']",images\29305.jpeg
2931.jpeg,"['analog clock', 'web site, website, internet site, site', 'wall clock']",images\2931.jpeg
29313.jpeg,"['dingo, warrigal, warragal, Canis dingo', 'Eskimo dog, husky', 'Siberian husky', 'German shepherd, German shepherd dog, German police dog, alsatian', 'bulletproof vest']",images\29313.jpeg
29315.jpeg,"['window shade', 'prison, prison house', 'spotlight, spot', 'shower curtain', 'chimpanzee, chimp, Pan troglodytes']",images\29315.jpeg
29318.jpeg,"['maze, labyrinth', 'valley, vale', 'palace', 'lakeside, lakeshore', 'alp']",images\29318.jpeg
2932.jpeg,"['gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'mountain tent']",images\2932.jpeg
29326.jpeg,"['comic book', 'spider monkey, Ateles geoffroyi', 'gibbon, Hylobates lar', 'siamang, Hylobates syndactylus, Symphalangus syndactylus', 'book jacket, dust cover, dust jacket, dust wrapper']",images\29326.jpeg
29330.jpeg,"['comic book', 'jigsaw puzzle', 'book jacket, dust cover, dust jacket, dust wrapper']",images\29330.jpeg
29336.jpeg,"['cliff, drop, drop-off', 'abaya', 'valley, vale', 'alp', 'spotlight, spot']",images\29336.jpeg
2935.jpeg,"['accordion, piano accordion, squeeze box', 'chain saw, chainsaw', 'chimpanzee, chimp, Pan troglodytes', 'jean, blue jean, denim', 'water jug']",images\2935.jpeg
29355.jpeg,"['dung beetle', 'common newt, Triturus vulgaris', 'thunder snake, worm snake, Carphophis amoenus', 'earthstar', 'mud turtle']",images\29355.jpeg
29357.jpeg,"['lawn mower, mower', 'go-kart', 'tractor', 'racer, race car, racing car']",images\29357.jpeg
29358.jpeg,"['German shepherd, German shepherd dog, German police dog, alsatian', 'malamute, malemute, Alaskan malamute', 'malinois']",images\29358.jpeg
29360.jpeg,"['tile roof', 'web site, website, internet site, site', 'comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'maze, labyrinth']",images\29360.jpeg
29371.jpeg,"['macaw', 'kite', 'African grey, African gray, Psittacus erithacus', 'quail']",images\29371.jpeg
29386.jpeg,"['turnstile', 'sliding door', 'prison, prison house', 'shoji', 'book jacket, dust cover, dust jacket, dust wrapper']",images\29386.jpeg
29403.jpeg,"['tractor', 'lawn mower, mower', 'plow, plough', 'racer, race car, racing car']",images\29403.jpeg
29409.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gorilla, Gorilla gorilla', 'chimpanzee, chimp, Pan troglodytes', 'gibbon, Hylobates lar']",images\29409.jpeg
29414.jpeg,"['streetcar, tram, tramcar, trolley, trolley car', 'traffic light, traffic signal, stoplight', 'recreational vehicle, RV, R.V.', 'spotlight, spot', 'web site, website, internet site, site']",images\29414.jpeg
29417.jpeg,"['spider monkey, Ateles geoffroyi', 'web site, website, internet site, site', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\29417.jpeg
2942.jpeg,"['mountain tent', 'gibbon, Hylobates lar', 'sleeping bag', 'guenon, guenon monkey', 'macaque']",images\2942.jpeg
2943.jpeg,"['lakeside, lakeshore', 'valley, vale', 'cliff, drop, drop-off', 'canoe', 'tusker']",images\2943.jpeg
29435.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper']",images\29435.jpeg
29441.jpeg,"['mobile home, manufactured home', 'recreational vehicle, RV, R.V.', 'bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis', 'ibex, Capra ibex']",images\29441.jpeg
29448.jpeg,"['spotlight, spot', 'fountain', 'gasmask, respirator, gas helmet', 'corkscrew, bottle screw', 'cloak']",images\29448.jpeg
29455.jpeg,"['racer, race car, racing car']",images\29455.jpeg
29495.jpeg,"['wallaby, brush kangaroo', 'maze, labyrinth', 'mongoose', 'park bench', 'manhole cover']",images\29495.jpeg
29503.jpeg,"['comic book', 'book jacket, dust cover, dust jacket, dust wrapper', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'web site, website, internet site, site']",images\29503.jpeg
29529.jpeg,"['speedboat', 'Indian elephant, Elephas maximus', 'tusker', 'paddle, boat paddle', 'lakeside, lakeshore']",images\29529.jpeg
2953.jpeg,"['baboon', 'macaque', 'orangutan, orang, orangutang, Pongo pygmaeus', 'tusker', 'patas, hussar monkey, Erythrocebus patas']",images\2953.jpeg
29530.jpeg,"['comic book', 'broom', 'chimpanzee, chimp, Pan troglodytes', 'gorilla, Gorilla gorilla', 'swab, swob, mop']",images\29530.jpeg
2954.jpeg,"['comic book', 'gorilla, Gorilla gorilla', 'macaque', 'baboon', 'book jacket, dust cover, dust jacket, dust wrapper']",images\2954.jpeg
29549.jpeg,"['siamang, Hylobates syndactylus, Symphalangus syndactylus', 'gibbon, Hylobates lar', 'spider monkey, Ateles geoffroyi', 'gorilla, Gorilla gorilla', 'shower curtain']",images\29549.jpeg
2955.jpeg,"['fountain', 'web site, website, internet site, site', 'jigsaw puzzle', 'lakeside, lakeshore']",images\2955.jpeg
2956.jpeg,"['gorilla, Gorilla gorilla', 'orangutan, orang, orangutang, Pongo pygmaeus', 'chimpanzee, chimp, Pan troglodytes']",images\2956.jpeg
29565.jpeg,"['tow truck, tow car, wrecker', 'pickup, pickup truck', 'fire engine, fire truck', 'gorilla, Gorilla gorilla', 'siamang, Hylobates syndactylus, Symphalangus syndactylus']",images\29565.jpeg
2957.jpeg,"['orangutan, orang, orangutang, Pongo pygmaeus', 'gorilla, Gorilla gorilla', 'gibbon, Hylobates lar', 'chimpanzee, chimp, Pan troglodytes', 'howler monkey, howler']",images\2957.jpeg
2960.jpeg,"['lakeside, lakeshore', 'valley, vale', 'langur', 'alp']",images\2960.jpeg
29609.jpeg,"['web site, website, internet site, site', 'crossword puzzle, crossword', 'menu', 'nematode, nematode worm, roundworm']",images\29609.jpeg
2961.jpeg,"['comic book', 'web site, website, internet site, site', 'book jacket, dust cover, dust jacket, dust wrapper']",images\2961.jpeg
29612.jpeg,"['book jacket, dust cover, dust jacket, dust wrapper', 'comic book', 'Rhodesian ridgeback', 'vizsla, Hungarian pointer', 'redbone']",images\29612.jpeg
29615.jpeg,"['langur', 'racer, race car, racing car', 'amphibian, amphibious vehicle', 'baboon', 'tractor']",images\29615.jpeg
29624.jpeg,"['fountain', 'umbrella']",images\29624.jpeg
2963.jpeg,"['volcano', 'valley, vale', 'alp']",images\2963.jpeg
