Image,Image Caption(s),Generated_Image_Path
26262.jpeg,"['a teddy bear sitting in the middle of a road .', 'a teddy bear sitting on the side of a road .', 'a teddy bear sitting in the middle of a street .']",images\26262.jpeg
26271.jpeg,"['a statue of a man and a woman holding a cell phone .', 'a statue of a man and a woman holding a kite .', 'a statue of a man and a woman holding a cell phone']",images\26271.jpeg
26276.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a dirt field .', 'a group of people standing on top of a grass covered field .']",images\26276.jpeg
26277.jpeg,"['a black and white photo of a dog sitting in the back of a truck .', 'a black and white photo of a dog sitting in the back of a truck', 'a black and white photo of a dog sitting in the back of a pickup truck .']",images\26277.jpeg
26279.jpeg,"['a forest filled with lots of trees and trees .', 'a forest filled with lots of trees and a forest .', 'a forest filled with lots of trees next to a forest .']",images\26279.jpeg
2628.jpeg,"['a group of people sitting on top of a bench .', 'a group of people sitting on a park bench .', 'a group of people sitting on a park bench']",images\2628.jpeg
26297.jpeg,"['a group of people on a boat in the water .', 'a group of people riding on top of a boat .', 'a group of people on a boat in the water']",images\26297.jpeg
26299.jpeg,"['a statue of a bear sitting on top of a wooden bench .', 'a statue of a bear sitting on a bench', 'a statue of a man sitting on a bench next to a dog .']",images\26299.jpeg
2630.jpeg,"['a man riding a bike down a dirt road .', 'a man riding a motorcycle down a dirt road .', 'a man riding a bike on a dirt road .']",images\2630.jpeg
26306.jpeg,"['a dog sitting in a living room next to a window .', 'a dog and a dog are in a room .', 'a dog sitting in a living room next to a fire place .']",images\26306.jpeg
26307.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on top of elephants .', 'a group of people riding on top of a river .']",images\26307.jpeg
26313.jpeg,"['a view of a city street from an airplane .', 'a view of a city street from a car .', 'a view of a city street from an airplane']",images\26313.jpeg
26338.jpeg,"['an old photo of a man in a suit', 'an old photo of a man in a suit and tie', 'an old photo of a man in a boat']",images\26338.jpeg
2635.jpeg,"['a group of dogs standing on top of a sandy beach .', 'a group of dogs standing on top of a beach .', 'a group of people standing on a beach next to a dog .']",images\2635.jpeg
26352.jpeg,"['a black bear sitting on top of a truck .', 'a black bear sitting in the middle of a forest .', 'a black bear sitting on top of a tree .']",images\26352.jpeg
26353.jpeg,"['a fire hydrant sitting in the middle of a forest .', 'a fire hydrant in the middle of a forest .', 'a fire hydrant in the middle of a forest']",images\26353.jpeg
26354.jpeg,"['a black and white photo of a street light', 'a black and white photo of a tree in the woods .', 'a black and white photo of a tree in a park .']",images\26354.jpeg
26369.jpeg,"['a man sitting on a bus with a cell phone .', 'a woman sitting on a bus with a bag of luggage .', 'a woman sitting on a bus with a bag on her shoulder .']",images\26369.jpeg
26372.jpeg,"['a cat sitting on top of a window sill .', 'a cat sitting on a window sill looking out a window .', 'a cat sitting on a window sill looking out a window']",images\26372.jpeg
26377.jpeg,"['a woman holding a baby in front of a giraffe .', 'a woman holding a baby and a teddy bear .', 'a woman holding a baby in front of a horse .']",images\26377.jpeg
26380.jpeg,"['a red and white fire hydrant sitting in the snow .', 'a red and white fire hydrant sitting on the side of a road .', 'a red and white fire hydrant sitting in the snow']",images\26380.jpeg
26381.jpeg,"['a man riding a boat down a river .', 'a man riding a motorcycle down a river .', 'a man riding a boat down a river next to a forest .']",images\26381.jpeg
26386.jpeg,"['a group of men standing next to each other .', 'a group of people standing next to each other .', 'a group of men standing next to each other holding surfboards .']",images\26386.jpeg
26393.jpeg,"['a black and white photo of a group of people', 'a black and white photo of a man and a woman', 'a black and white photo of a man and a woman .']",images\26393.jpeg
26396.jpeg,"['a person riding a skate board on a ledge', 'a man riding a skateboard down the side of a ramp .', 'a person riding a skate board on a city street']",images\26396.jpeg
264.jpeg,"['a couple of people that are sitting on a bench .', 'a couple of people that are sitting on a bench', 'a couple of people that are sitting on a wooden bench']",images\264.jpeg
26403.jpeg,"['a parking meter sitting on the side of a road .', 'a parking meter sitting on the side of a street .', 'a parking meter sitting on the side of a road next to a forest .']",images\26403.jpeg
26414.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard down a street next to a forest .', 'a group of people sitting on a bench in the middle of a field .']",images\26414.jpeg
26440.jpeg,"['a group of people standing on top of a hill .', 'a group of people standing on top of a snow covered hillside .', 'a group of people standing on top of a snow covered mountain .']",images\26440.jpeg
26447.jpeg,"['a close up of a pair of scissors', 'a close up of a person with a tie', 'a close up of a pair of scissors on a bed']",images\26447.jpeg
26448.jpeg,"['a man holding a stop sign in the air .', 'a man holding a stop sign in the air', 'a man holding a stop sign in the middle of a field .']",images\26448.jpeg
26450.jpeg,"['a bunch of boats that are in the water .', 'a group of boats floating on top of a lake .', 'a bunch of boats that are floating in the water .']",images\26450.jpeg
26460.jpeg,"['a group of people sitting on a bench in front of a building .', 'a group of people sitting on a bench next to a train .', 'a group of people sitting on a bench next to a bus .']",images\26460.jpeg
26473.jpeg,"['a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a street .', 'a man riding a skateboard on top of a ramp .']",images\26473.jpeg
26487.jpeg,"['a group of people standing in front of a sign .', 'a group of people standing in front of a building .', 'a group of people standing in front of a sign']",images\26487.jpeg
26494.jpeg,"['a man sitting on a bench in the rain .', 'a man sitting on a bench next to a dog .', 'a man sitting on a bench in the rain']",images\26494.jpeg
26497.jpeg,"['a man holding a skateboard in his hand .', 'a man holding a skateboard in his hands .', 'a man holding a skateboard in his hand']",images\26497.jpeg
26504.jpeg,"['a black and white photo of a dog on a bed .', 'a black and white photo of a dog on a bed', 'a black and white photo of a dog on a truck .']",images\26504.jpeg
26513.jpeg,"['a man and a woman are standing in the snow .', 'a man and a woman are standing in the snow with a bear .', 'a man and a woman are standing in the snow with a dog .']",images\26513.jpeg
26521.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people skiing down a snow covered slope .', 'a group of people riding skis on top of a snow covered slope .']",images\26521.jpeg
26522.jpeg,"['a brown horse standing on top of a lush green field .', 'a brown horse standing on top of a lush green hillside .', 'a horse is standing in the middle of a field .']",images\26522.jpeg
26543.jpeg,"['a man riding a skateboard down the side of a ramp .', 'a person riding a skate board on a ledge', 'a person riding a skate board on a city street']",images\26543.jpeg
26544.jpeg,"['a person on a snowboard in the snow .', 'a person riding a snowboard on top of a snow covered slope .', 'a person riding a snowboard on a snowy slope']",images\26544.jpeg
26554.jpeg,"['a car is parked on the side of the road .', 'a car is parked on the side of the street .', 'a street with cars parked on the side of it .']",images\26554.jpeg
26566.jpeg,"['a herd of sheep grazing on a lush green field .', 'a herd of sheep grazing on a lush green hillside .', 'a herd of sheep standing on top of a lush green field .']",images\26566.jpeg
26567.jpeg,"['a group of birds sitting on top of a wooden table .', 'a group of birds sitting on top of a roof .', 'a group of birds sitting on top of a table .']",images\26567.jpeg
2657.jpeg,"['a man is flying a kite in a field .', 'a man is flying a kite in a field', 'a man is flying a kite on a hill .']",images\2657.jpeg
26572.jpeg,"['a couple of animals that are in the grass .', 'a couple of animals that are standing in the grass .', 'a couple of animals that are in a field']",images\26572.jpeg
26577.jpeg,"['a train traveling down tracks next to a forest .', 'a train traveling down tracks next to a lush green field .', 'a train traveling down tracks next to a lush green hillside .']",images\26577.jpeg
26580.jpeg,"['a couple of boats that are sitting in the water .', 'a couple of boats that are in the water .', 'a couple of boats that are in the water']",images\26580.jpeg
26581.jpeg,"['a polar bear is standing in the middle of a street .', 'a polar bear is standing in the middle of a road .', 'a polar bear is standing in the middle of the road .']",images\26581.jpeg
26587.jpeg,"['a woman is sitting on a bench with a teddy bear .', 'a woman is sitting on a bench next to a tree .', 'a woman is sitting on a bench next to a statue .']",images\26587.jpeg
26604.jpeg,"['a large brown bear sitting on top of a lush green field .', 'a large brown bear sitting on top of a grass covered field .', 'a large brown bear sitting on top of a field .']",images\26604.jpeg
26605.jpeg,"['a statue of a man holding a teddy bear .', 'a statue of a man holding a baseball bat .', 'a statue of a man holding a teddy bear']",images\26605.jpeg
26617.jpeg,"['a man standing next to a giraffe in a forest .', 'a man standing next to a woman in a forest .', 'a man standing next to a giraffe in a field .']",images\26617.jpeg
26646.jpeg,"['a man and a woman are standing in the water .', 'a man and a woman are standing next to each other .', 'a man and a woman are standing next to a river .']",images\26646.jpeg
2666.jpeg,"['a group of people on a boat in the water .', 'a group of people on a boat in the water', 'a group of people on a boat with a dog .']",images\2666.jpeg
2667.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a man riding a skateboard down a snow covered slope .', 'a man riding a snowboard down the side of a snow covered slope .']",images\2667.jpeg
26671.jpeg,"['a group of people riding skis down a snow covered slope .', 'a group of people standing on top of a snow covered slope .', 'a group of people riding skis on a snowy surface']",images\26671.jpeg
26694.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting around a table with a cake .', 'a group of people sitting on a bench in front of a building .']",images\26694.jpeg
26695.jpeg,"['a close up of a street sign with a sky background', 'a close up of a street sign with a building in the background', 'a close up of a sign with a clock']",images\26695.jpeg
26709.jpeg,"['a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .', 'a man riding a skateboard on top of a ramp .']",images\26709.jpeg
26711.jpeg,"['a black bear sitting on top of a lush green field .', 'a black bear sitting on top of a pile of rocks .', 'a black bear sitting on top of a tree .']",images\26711.jpeg
26713.jpeg,"['a collage of photos with a dog and a dog', 'a collage of photos of a dog and a dog', 'a collage of photos showing a dog and a dog .']",images\26713.jpeg
26718.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on top of a cement bench .']",images\26718.jpeg
26750.jpeg,"['a black and white photo of a cat in a cage .', 'a black and white photo of a cat sitting on a ledge .', 'a black and white photo of a cat in a cage']",images\26750.jpeg
26759.jpeg,"['a view of a mountain range from a plane .', 'a view of a mountain range with a mountain in the background .', 'a view of a mountain range with a mountain in the distance .']",images\26759.jpeg
26767.jpeg,"['a couple of giraffe standing next to each other .', 'a couple of giraffe standing next to each other on a field .', 'a couple of giraffe standing next to each other on a dirt field .']",images\26767.jpeg
2677.jpeg,"['a group of people standing around a large elephant .', 'a group of people standing in front of a building .', 'a group of people standing next to a statue of a bear .']",images\2677.jpeg
2678.jpeg,"['a group of people standing on top of a field .', 'a group of people standing on top of a snow covered slope .', 'a group of people standing on top of a grass covered field .']",images\2678.jpeg
26782.jpeg,"['a man sitting on top of a couch next to a cat .', 'a man sitting on top of a couch next to a dog .', 'a man sitting on top of a couch next to a statue of a dog .']",images\26782.jpeg
26790.jpeg,"['a dog sitting in the back of a truck .', 'a dog sitting in the drivers seat of a car .', 'a dog sitting in the back seat of a car .']",images\26790.jpeg
2681.jpeg,"['a black and white photo of a man on a tennis court .', 'a black and white photo of a man on a skateboard .', 'a black and white photo of a man on a skateboard']",images\2681.jpeg
26822.jpeg,"['a man sitting on a couch with a laptop computer .', 'a man sitting on a couch with a laptop in front of him .', 'a man sitting on a couch with a laptop in his lap .']",images\26822.jpeg
26823.jpeg,"['a man standing next to a woman in a forest .', 'a man and a woman standing next to a tree .', 'a man and a woman standing next to a forest .']",images\26823.jpeg
26829.jpeg,"['a statue of a bear sitting on top of a table .', 'a statue of a bear sitting on top of a wooden table .', 'a statue of a bear sitting on a table .']",images\26829.jpeg
26830.jpeg,"['a man holding a white frisbee in his hands .', 'a man holding a white frisbee in his right hand .', 'a man holding a white frisbee in his hands']",images\26830.jpeg
26850.jpeg,"['a forest filled with lots of trees and trees .', 'a forest filled with lots of trees and a forest .', 'a forest filled with lots of trees next to a forest .']",images\26850.jpeg
26868.jpeg,"['a couple of horses standing on top of a snow covered slope .', 'a couple of people that are standing in the snow .', 'a couple of people that are standing in the water .']",images\26868.jpeg
26874.jpeg,"['a boat that is sitting in the water .', 'a boat that is sitting in the water', 'a boat that is sitting on the side of the road .']",images\26874.jpeg
26886.jpeg,"['a group of people riding on the backs of horses .', 'a group of people riding on the back of horses .', 'a group of people riding on the back of a horse .']",images\26886.jpeg
26888.jpeg,"['a group of stuffed animals sitting on top of a table .', 'a group of stuffed animals sitting on top of a wooden table .', 'a bunch of stuffed animals sitting in a field']",images\26888.jpeg
26905.jpeg,"['a group of people standing next to each other .', 'a group of people sitting on a bench .', 'a group of people standing next to each other in a room .']",images\26905.jpeg
26919.jpeg,"['a group of people standing on a beach next to a boat .', 'a group of people standing on a beach next to the ocean .', 'a group of people standing on a beach next to a large body of water .']",images\26919.jpeg
26922.jpeg,"['a man riding a horse down a dirt road .', 'a man riding a horse through a forest .', 'a man riding a horse down a road next to a forest .']",images\26922.jpeg
26927.jpeg,"['a man riding a skateboard down a ramp .', 'a man riding a skateboard down a metal rail .', 'a group of people standing on top of a wooden bench .']",images\26927.jpeg
26939.jpeg,"['a flock of birds sitting on top of a wooden bench .', 'a flock of birds standing on top of a wooden bench .', 'a flock of birds standing on top of a stone wall .']",images\26939.jpeg
26943.jpeg,"['a group of people walking down a city street .', 'a large group of people walking down a street .', 'a group of people walking down a street next to tall buildings .']",images\26943.jpeg
26947.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on the back of elephants .', 'a group of people riding on the back of an elephant .']",images\26947.jpeg
26948.jpeg,"['a black and white photo of a dog on a truck .', 'a black and white photo of a dog on a truck', 'a black and white photo of a truck with a dog on it .']",images\26948.jpeg
26957.jpeg,"['a black and white photo of a man holding a teddy bear .', 'a black and white photo of a man holding a teddy bear', 'a black and white photo of a man holding a stuffed animal']",images\26957.jpeg
2696.jpeg,"['a car driving down a street next to a traffic light .', 'a car driving down a street next to a tall building .', 'a car driving down a street next to a street light .']",images\2696.jpeg
26962.jpeg,"['a dog is standing in front of a building .', 'a dog is standing in front of a building', 'a dog is standing in front of a window']",images\26962.jpeg
26963.jpeg,"['a black and white photo of a person on a bed', 'a black and white photo of a person sitting on a bed .', 'a black and white photo of a person sitting on a bed']",images\26963.jpeg
26997.jpeg,"['a man standing on a sidewalk holding a skateboard .', 'a man standing in front of a building holding a skateboard .', 'a man standing in front of a building holding a frisbee .']",images\26997.jpeg
270.jpeg,"['a group of people standing next to each other .', 'a group of people standing next to each other in front of a clock .', 'a group of people standing next to each other on a white wall .']",images\270.jpeg
27009.jpeg,"['a giraffe standing in front of a building .', 'a giraffe standing next to a tree in a park .', 'a giraffe standing next to a tree in a field .']",images\27009.jpeg
27012.jpeg,"['a man riding a motorcycle down a road .', 'a person riding a bike on a road', 'a person riding a bike on a road near trees']",images\27012.jpeg
27023.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a white boat .', 'a group of people sitting on top of a giant elephant .']",images\27023.jpeg
27024.jpeg,"['a black and white photo of a man and a dog', 'a black and white photo of a man and a dog .', 'a black and white photo of a man in a suit']",images\27024.jpeg
27028.jpeg,"['a group of people standing next to a large elephant .', 'a man and a woman are sitting on a bench .', 'a man and a woman are sitting on a bench']",images\27028.jpeg
27035.jpeg,"['a large body of water next to a river .', 'a large body of water with a bridge in the background', 'a large body of water with a bridge in the background .']",images\27035.jpeg
27037.jpeg,"['a dog is looking out of a window .', 'a dog is looking out of a window', 'a dog is looking out the window of a house .']",images\27037.jpeg
2704.jpeg,"['a group of people riding on top of a boat .', 'a group of people riding on top of a motorcycle .', 'a group of people sitting on a boat in the water .']",images\2704.jpeg
27042.jpeg,"['a man riding a skateboard down a street .', 'a young man riding a skateboard down a street .', 'a man riding a skateboard on top of a cement block .']",images\27042.jpeg
27057.jpeg,"['a black bear sitting on top of a rock .', 'a black bear sitting on top of a pile of rocks .', 'a black bear sitting on top of a dirt field .']",images\27057.jpeg
27067.jpeg,"['a couple of people that are in the snow .', 'a couple of people that are in the snow', 'a couple of people that are standing in the water .']",images\27067.jpeg
27072.jpeg,"['a black and white photo of a man holding a snowboard .', 'a black and white photo of a woman holding a tennis racket .', 'a black and white photo of a man and a woman']",images\27072.jpeg
27075.jpeg,"['a person on a horse in the snow .', 'a person on a horse in a field .', 'a man riding a horse down a snow covered hillside .']",images\27075.jpeg
27076.jpeg,"['a large brown dog sitting on top of a couch .', 'a large brown dog laying on top of a couch .', 'a large brown dog sitting on top of a green couch .']",images\27076.jpeg
27087.jpeg,"['a person riding a skate board on a city street', 'a man riding a skateboard down a street .', 'a man riding a skateboard down the side of a ramp .']",images\27087.jpeg
27089.jpeg,"['a black and white photo of a person on a skateboard .', 'a black and white photo of a man on a skateboard .', 'a black and white photo of a person on a skateboard']",images\27089.jpeg
2712.jpeg,"['a brown dog standing on top of a lush green field .', 'a brown dog standing on top of a green field .', 'a brown and white dog laying on top of a lush green field .']",images\2712.jpeg
27125.jpeg,"['a statue of a man on a horse .', 'a statue of a man on a horse in a courtyard .', 'a statue of a man sitting on a bench next to a statue .']",images\27125.jpeg
27141.jpeg,"['a man standing next to a truck with a dog on it .', 'a man standing next to a truck with a dog in it .', 'a man standing next to a truck with a dog on it']",images\27141.jpeg
27145.jpeg,"['a man holding a pair of scissors in his hands .', 'a man holding a pair of scissors in his hand .', 'a man holding a pair of scissors in his hands']",images\27145.jpeg
27146.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on a bench in a park .']",images\27146.jpeg
27167.jpeg,"['a black and white photo of a man in a suit', 'a black and white photo of a man in a suit .', 'a black and white photo of a man and a woman']",images\27167.jpeg
27177.jpeg,"['a couple of cars parked on the side of a road .', 'a couple of cars parked on the side of the road .', 'a couple of cars parked on the side of the road']",images\27177.jpeg
27184.jpeg,"['a man riding a snowboard down a snow covered slope .', 'a man riding a skateboard down a street .', 'a man riding a skateboard on top of a ramp .']",images\27184.jpeg
27197.jpeg,"['a building with a window and a window .', 'a building with a window and a window', 'a white house with a white door and a window .']",images\27197.jpeg
27206.jpeg,"['a couple of people that are standing in the snow .', 'a couple of people that are standing in the snow', 'a couple of people that are sitting in the snow .']",images\27206.jpeg
27237.jpeg,"['a group of people in a boat in the water .', 'a group of people in a boat in a body of water', 'a group of people in a boat with a dog']",images\27237.jpeg
27242.jpeg,"['a group of people standing on top of a sandy beach .', 'a group of people standing on top of a beach .', 'a group of people standing on top of a beach next to the ocean .']",images\27242.jpeg
27250.jpeg,"['a bear that is standing in the grass .', 'a bear that is standing in the snow .', 'a bear that is standing in the middle of a road .']",images\27250.jpeg
27261.jpeg,"['a group of people on a boat in the water .', 'a group of people riding on top of a boat .', 'a group of people on a boat in the water']",images\27261.jpeg
27274.jpeg,"['a dog is sitting in the back of a truck .', 'a dog is sitting in the back of a pick up truck .', 'a dog is sitting in the back of a truck']",images\27274.jpeg
273.jpeg,"['a group of people riding on top of a boat .', 'a group of people on a boat in the water .', 'a group of people in a boat in the water .']",images\273.jpeg
27300.jpeg,"['a couple of brown bears standing next to each other .', 'a large brown bear sitting on top of a lush green field .', 'a couple of brown bears sitting on top of a lush green field .']",images\27300.jpeg
27303.jpeg,"['a view of a building with a clock on it .', 'a view of a building with a clock on it', 'a view of a clock tower in the middle of a mountain .']",images\27303.jpeg
27307.jpeg,"['a black and white photo of a man and a dog', 'a black and white photo of a person on a skateboard .', 'a black and white photo of a man on a skateboard .']",images\27307.jpeg
27323.jpeg,"['a black and white photo of a house with a house', 'a black and white photo of a house with a house in the background .', 'a black and white photo of a house with a bench']",images\27323.jpeg
27327.jpeg,"['a group of people on a boat in the water .', 'a group of people riding on top of a boat .', 'a group of people on a boat in the water']",images\27327.jpeg
27341.jpeg,"[""a sign that reads `` <UNK> '' on the side of a building ."", ""a sign that reads `` <UNK> '' on a wall ."", ""a sign that reads `` <UNK> '' on a street sign .""]",images\27341.jpeg
27347.jpeg,"['a group of people walking down a street .', 'a group of people walking down a street with umbrellas .', 'a group of people walking down a street next to tall buildings .']",images\27347.jpeg
27363.jpeg,"['a bunch of birds that are on a pole .', 'a bunch of birds that are sitting on a pole .', 'a bunch of birds that are standing on a pole .']",images\27363.jpeg
27374.jpeg,"['a man riding a bike down a snow covered road .', 'a man riding a bike down a snow covered slope .', 'a person riding a bike on a snowy surface']",images\27374.jpeg
27387.jpeg,"['a group of people riding horses down a street .', 'a group of people riding horses down a road .', 'a group of people riding horses down a snow covered road .']",images\27387.jpeg
27399.jpeg,"['a group of people riding on top of a boat .', 'a group of people on a boat in the water .', 'a group of people on a boat in the water']",images\27399.jpeg
27410.jpeg,"['a person riding skis on a snowy surface', 'a person riding skis on a snowy slope', 'a person on a snowboard in the snow .']",images\27410.jpeg
27429.jpeg,"['a man flying through the air while riding a skateboard .', 'a man flying through the air while riding a snowboard .', 'a man flying through the air on top of a skateboard .']",images\27429.jpeg
2744.jpeg,"['a group of people standing next to a train .', 'a group of people standing next to a bus .', 'a group of people standing next to a train']",images\2744.jpeg
27459.jpeg,"['a woman is riding a horse in the street', 'a woman is riding a horse in the street .', 'a woman is riding a horse on a track']",images\27459.jpeg
27472.jpeg,"['a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard down a ramp .', 'a man riding a skateboard on top of a ramp .']",images\27472.jpeg
27473.jpeg,"['a group of people riding on the back of a truck .', 'a group of people riding on the back of a horse .', 'a group of people riding on the backs of elephants .']",images\27473.jpeg
27477.jpeg,"['a flock of birds sitting on top of a tree .', 'a flock of birds sitting on top of a tall building .', 'a flock of birds sitting on top of a tall tree .']",images\27477.jpeg
27479.jpeg,"['a white and black bird sitting on top of a white clock .', 'a white and black bird sitting on top of a wooden table .', 'a white and black bird sitting on top of a white building .']",images\27479.jpeg
27480.jpeg,"['a man sitting on a bench next to a dog .', 'a man sitting on a bench with a dog .', 'a man sitting on top of a bench next to a dog .']",images\27480.jpeg
27482.jpeg,"['a black and white photo of a person on a skateboard .', 'a black and white photo of a person on a bench .', 'a black and white photo of a person on a bench']",images\27482.jpeg
27486.jpeg,"['a group of people riding on top of a boat .', 'a group of people on a boat in the water .', 'a group of people sitting on a boat in the water .']",images\27486.jpeg
27495.jpeg,"['a cow standing in the middle of a road .', 'a large brown bear walking across a street .', 'a cow standing in the middle of a street .']",images\27495.jpeg
2750.jpeg,"['a car is parked on the side of the road .', 'a car is parked on the side of a road .', 'a car is parked on the side of the road']",images\2750.jpeg
27522.jpeg,"['a black bear walking across a lush green field .', 'a black bear walking across a dirt road .', 'a black bear standing in a field next to a tree .']",images\27522.jpeg
27545.jpeg,"['a clock on a wall in a room .', 'a clock on a wall in a room', 'a clock on a wall in a room with a clock .']",images\27545.jpeg
2755.jpeg,"['a group of people riding on the backs of elephants .', 'a group of people riding on top of elephants .', 'a group of people riding on the backs of elephants']",images\2755.jpeg
27551.jpeg,"['a man riding a skateboard down a street .', 'a man riding a skateboard down the side of a ramp .', 'a man riding a skateboard on top of a ramp .']",images\27551.jpeg
27564.jpeg,"['a man sitting at a table in front of a laptop computer .', 'a man sitting at a table with a laptop .', 'a man sitting at a table with a laptop computer .']",images\27564.jpeg
27568.jpeg,"['a group of people standing next to each other .', 'a group of people standing in front of a building .', 'a group of people standing next to a statue of a bear .']",images\27568.jpeg
2758.jpeg,"['a group of black and white animals in a field .', 'a group of black and white bears in a field .', 'a group of black and white animals in a field']",images\2758.jpeg
27587.jpeg,"['a man is sitting on a boat in the water .', 'a man is sitting on a boat in the water', 'a man is sitting on a boat with a dog .']",images\27587.jpeg
27589.jpeg,"['a group of sheep standing next to a building .', 'a group of sheep standing in front of a building .', 'a group of sheep standing next to a building']",images\27589.jpeg
2760.jpeg,"['a person holding a pair of scissors in their hands .', 'a man holding a pair of scissors in his hands .', 'a person holding a pair of scissors in their hands']",images\2760.jpeg
27609.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a bench .', 'a group of people sitting on a bench next to a bridge .']",images\27609.jpeg
27613.jpeg,"['a cat sitting on top of a wooden bench .', 'a cat sitting on top of a wooden chair .', 'a cat sitting on top of a window sill .']",images\27613.jpeg
27630.jpeg,"['a dog laying on a bed with a blanket .', 'a dog laying on a bed with a blanket', 'a dog is laying on a bed with a blanket .']",images\27630.jpeg
2764.jpeg,"['a man riding a motorcycle down a dirt road .', 'a person riding a motorcycle on a dirt road', 'a group of people riding motorcycles down a road .']",images\2764.jpeg
27676.jpeg,"['a group of people riding bikes down a street .', 'a group of people riding bikes down a road .', 'a group of people walking down a street next to cars .']",images\27676.jpeg
27682.jpeg,"['a group of people standing in front of an airplane .', 'a group of people standing in front of a plane .', 'a group of people standing in front of a large airplane .']",images\27682.jpeg
27687.jpeg,"['a group of people standing next to each other .', 'a group of men standing next to each other .', 'a group of people standing next to each other holding a teddy bear .']",images\27687.jpeg
27692.jpeg,"['a dog jumping in the air with a frisbee in its mouth .', 'a dog jumping in the air with a frisbee in its mouth', 'a dog jumping in the air with a frisbee .']",images\27692.jpeg
2770.jpeg,"['a bunch of birds that are sitting on some grass .', 'a bunch of birds that are sitting on some rocks .', 'a bunch of birds that are sitting on some grass']",images\2770.jpeg
27702.jpeg,"['a group of people standing on top of a lush green field .', 'a group of people standing on top of a field .', 'a group of people standing on top of a grass covered field .']",images\27702.jpeg
27711.jpeg,"['a man is standing in front of a fence', 'a man is standing in front of a fence .', 'a man is standing in front of a large elephant .']",images\27711.jpeg
2774.jpeg,"['a black and white photo of a fire hydrant', 'a black and white photo of a fire hydrant .', 'a black and white photo of a fire hydrant on a street .']",images\2774.jpeg
27743.jpeg,"['a cat sitting on the hood of a car .', 'a cat sitting on the hood of a car', 'a cat sitting on the back of a car .']",images\27743.jpeg
27764.jpeg,"['a couple of bears that are in the water .', 'a couple of bears that are in the snow .', 'a couple of bears that are standing in the water .']",images\27764.jpeg
27768.jpeg,"['a man and a dog sitting in the back of a truck .', 'a man and a dog sitting in the back of a pickup truck .', 'a man and a dog sitting in a truck .']",images\27768.jpeg
27778.jpeg,"['a group of people standing on top of a snow covered slope .', 'a group of people standing on top of a rocky hillside .', 'a group of people standing on top of a snow covered hill .']",images\27778.jpeg
27779.jpeg,"['a group of people sitting on top of a sandy beach .', 'a group of people sitting on top of a beach .', 'a group of people sitting on top of a beach next to the ocean .']",images\27779.jpeg
27783.jpeg,"['a group of people sitting on top of a boat .', 'a group of people sitting on top of a wooden bench .', 'a group of people sitting on top of a cement bench .']",images\27783.jpeg
27785.jpeg,"['a woman sitting on top of a wooden bench .', 'a couple of people sitting on a bench .', 'a couple of people sitting on a bench in front of a building .']",images\27785.jpeg
2779.jpeg,"['a close up of a book on a table', 'a close up of a book on a desk', 'a close up of a book with a sign on it']",images\2779.jpeg
27800.jpeg,"['a black and white photo of a man on a horse .', 'a black and white photo of a man on a skateboard .', 'a black and white photo of a man on a horse']",images\27800.jpeg
27803.jpeg,"['a fire hydrant in the middle of a forest .', 'a fire hydrant in the middle of a field .', 'a fire hydrant in the middle of a field of grass .']",images\27803.jpeg
27819.jpeg,"['a man sitting on a bench in front of a window .', 'a man sitting on a bench in front of a window', 'a man sitting on a bench with a laptop .']",images\27819.jpeg
2782.jpeg,"['a statue of a man holding a teddy bear .', 'a collage of photos with a teddy bear', 'a statue of a man holding a teddy bear']",images\2782.jpeg
2784.jpeg,"['a group of people sitting on top of a wooden bench .', 'a group of people sitting on a bench with a dog .', 'a group of people sitting on a bench next to a dog .']",images\2784.jpeg
27844.jpeg,"['a group of people standing on top of a snow covered field .', 'a group of people standing on top of a snow covered slope .', 'a group of people standing on top of a lush green field .']",images\27844.jpeg
2786.jpeg,"['a black and white photo of a person standing in a field', 'a black and white photo of a lake and a boat', 'a black and white photo of a person standing in a field .']",images\2786.jpeg
27865.jpeg,"['a fire hydrant in the middle of a forest .', 'a fire hydrant in the middle of a field .', 'a fire hydrant in the middle of a forest']",images\27865.jpeg
2787.jpeg,"['a man riding a horse in the desert .', 'a man riding a horse in the desert', 'a man riding a horse in a field .']",images\2787.jpeg
2788.jpeg,"['a dog sitting on a bench in front of a building .', 'a dog and a cat are sitting on a bench .', 'a dog sitting on a bench in front of a house .']",images\2788.jpeg
